Method,TP,FP,FN,Precision,Recall,F1,Arbitration Accuracy
DeMo-style Clean,0,0,10,0.0,0.0,0.0,0.0
DeMo-style Mixed,0,0,10,0.0,0.0,0.0,0.0
FAVE-RAG Clean,0,0,10,0.0,0.0,0.0,0.4782608695652174
FAVE-RAG Mixed Hard,4,3,6,0.5714285714285714,0.4,0.47058823529411764,0.4782608695652174
FAVE-RAG Mixed Silent,3,4,7,0.42857142857142855,0.3,0.3529411764705882,0.391304347826087
FAVE-RAG Mixed Soft,4,3,6,0.5714285714285714,0.4,0.47058823529411764,0.4782608695652174
LLM-only,0,0,10,0.0,0.0,0.0,0.0
Vanilla RAG Clean,0,0,10,0.0,0.0,0.0,0.0
Vanilla RAG Mixed,0,0,10,0.0,0.0,0.0,0.0
